player,team,shots,goals,xg,passes,assists,yellow_cards,red_cards
Kenneth Taylor,Netherlands,0,0,0.0,9,0,0,0
Kendall Jamaal Waston Manley,Costa Rica,1,0,0.099276,77,0,0,0
Kellyn Kai Perry-Acosta,United States,0,0,0.0,12,0,1,0
Keanu Baccus,Australia,1,0,0.035468098,40,0,0,0
Kasper Schmeichel,Denmark,0,0,0.0,87,0,0,0
Kasper Dolberg,Denmark,4,0,0.511986249,18,0,0,0
Karol Świderski,Poland,0,0,0.0,8,0,0,0
Karl Brillant Toko Ekambi,Cameroon,2,0,0.1803258,52,0,0,0
Karim Boudiaf,Qatar,0,0,0.0,107,0,1,0
Karim Ansarifard,Iran,1,0,0.06399969,6,0,0,0
Kaoru Mitoma,Japan,2,0,0.837634306,73,1,0,0
Lisandro Martínez,Argentina,1,0,0.33156127,154,0,0,0
Liam Millar,Canada,0,0,0.0,9,0,0,0
Leroy Sané,Germany,3,0,0.18344245,56,1,0,0
Leon Goretzka,Germany,4,0,0.46069595,59,0,1,0
Leandro Trossard,Belgium,0,0,0.0,57,0,0,0
Leander Dendoncker,Belgium,1,0,0.08894938,119,0,1,0
Lawrence Ati-Zigi,Ghana,0,0,0.0,76,0,0,0
Kyung-Won Kwon,South Korea,1,0,0.005484339,43,0,0,0
Kyle Walker,England,0,0,0.0,177,0,0,0
Kye Rowles,Australia,0,0,0.0,195,0,0,0
Krépin Diatta,Senegal,3,0,0.128994183,76,0,0,0
Krzysztof Piątek,Poland,1,0,0.02819521,6,0,0,0
Krystian Bielik,Poland,2,0,0.136828873,98,0,0,0
Ko Itakura,Japan,3,0,0.162244075,111,1,2,0
Kingsley Coman,France,2,0,0.8713631399999999,70,0,0,0
Kieran Trippier,England,1,0,0.042866398,195,0,0,0
Lucas Hernández Pi,France,0,0,0.0,10,0,0,0
Brandon Aguilera Zamora,Costa Rica,0,0,0.0,35,0,0,0
Boualem Khoukhi,Qatar,0,0,0.0,194,0,0,0
Borna Sosa,Croatia,2,0,0.048374664,276,0,0,0
Borna Barišić,Croatia,1,0,0.015196718,67,0,1,0
Bilal El Khannous,Morocco,0,0,0.0,24,0,0,0
Bernardo Mota Veiga de Carvalho e Silva,Portugal,1,0,0.10927713,292,0,0,0
Benjamin Pavard,France,0,0,0.0,88,0,0,0
Ben Davies,Wales,3,0,0.384204745,160,0,0,0
Bassam Hisham Al Rawi,Qatar,0,0,0.0,57,0,0,0
Bartosz Bereszyński,Poland,0,0,0.0,150,0,1,0
Bailey Wright,Australia,0,0,0.0,4,0,0,0
