home_elo,away_elo,elo_diff,home_form,away_form,form_diff,neutral,is_wc,home_total_goals,away_total_goals,home_total_xg,away_total_xg,home_total_shots,away_total_shots,home_top_scorer_goals,away_top_scorer_goals,home_total_yellow_cards,away_total_yellow_cards
974.5228296801871,984.9721124214904,-10.44928274130325,0.3888888888888889,0.25,0.1388888888888889,0,0,3.0,0.0,3.9385379416,0.0,46.0,0.0,1.0,0.0,5.0,0.0
1015.0,1016.264255770038,-1.2642557700379484,1.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,1016.8835100185073,-16.88351001850731,0.5,0.6666666666666666,-0.16666666666666663,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
984.9720581625813,1008.4897361792698,-23.51767801668848,0.3333333333333333,0.6,-0.26666666666666666,1,0,2.0,3.0,1.234112451,4.663221082,11.0,31.0,1.0,2.0,6.0,7.0
1000.0,1015.0,-15.0,0.5,1.0,-0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001.2637647200829,973.1843146713913,28.07945004869157,0.5,0.16666666666666666,0.33333333333333337,0,0,5.0,23.0,6.090516355,20.988442916,37.0,110.0,2.0,9.0,8.0,11.0
1000.0,1013.1427551956692,-13.142755195669224,0.5,0.625,-0.125,0,0,0.0,2.0,0.0,3.2705338566,0.0,33.0,0.0,2.0,0.0,3.0
989.9738255083105,1022.4759442739917,-32.50211876568119,0.45,0.6666666666666666,-0.21666666666666662,0,0,3.0,3.0,3.9385379416,4.663221082,46.0,31.0,1.0,2.0,5.0,7.0
1000.6471999915343,1042.1662848628903,-41.51908487135597,0.5,0.8,-0.30000000000000004,0,0,10.0,0.0,13.6365929812,0.0,99.0,0.0,3.0,0.0,6.0,0.0
1000.0,1043.7151852843217,-43.715185284321706,0.5,1.0,-0.5,0,0,1.0,2.0,3.928625529,3.057649911,35.0,41.0,1.0,1.0,7.0,7.0
985.0,985.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
984.9442203594372,986.8556597006182,-1.9114393411809942,0.0,0.375,-0.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
